,Date,Home_Team,Away_Team,Spread_Result,Line,O/U_Result
147,2014-03-07,GSW,ATL,,9.0,
148,2014-03-08,LAC,ATL,,15.5,
149,2014-03-10,UTA,ATL,,-2.5,
150,2014-03-13,ATL,MIL,,,
151,2014-03-15,ATL,DEN,,,
152,2014-03-17,CHA,ATL,,3.0,
153,2014-03-18,ATL,TOR,,,
154,2014-03-21,ATL,NOP,,,
155,2014-03-23,TOR,ATL,,7.5,
156,2014-03-24,ATL,PHO,,,
157,2014-03-26,MIN,ATL,,5.5,
158,2014-03-27,ATL,POR,,,
159,2014-03-29,WAS,ATL,,6.0,
160,2014-03-31,ATL,PHI,,,
161,2014-04-02,ATL,CHI,,,
162,2014-04-04,ATL,CLE,,,
163,2014-04-06,IND,ATL,,8.0,
164,2014-04-08,ATL,DET,,,
165,2014-04-09,ATL,BOS,,,
166,2014-04-11,BRK,ATL,,4.5,
167,2014-04-12,ATL,MIA,,,
168,2014-04-14,ATL,CHA,,,
169,2014-04-16,MIL,ATL,,3.0,
170,2014-04-19,IND,ATL,,8.0,
171,2014-04-22,IND,ATL,,7.5,
172,2014-04-24,ATL,IND,,,
173,2014-04-26,ATL,IND,,,
174,2014-04-28,IND,ATL,,7.0,
175,2014-05-01,ATL,IND,,,
176,2014-05-03,IND,ATL,,6.0,
177,2014-10-29,TOR,ATL,,,
178,2014-11-01,ATL,IND,,,
179,2014-11-05,SAS,ATL,,8.0,
180,2014-11-07,CHO,ATL,,1.5,
181,2014-11-08,ATL,NYK,,,
182,2014-11-10,NYK,ATL,,-2.0,
183,2014-11-12,ATL,UTA,,,
184,2014-11-14,ATL,MIA,,,
185,2014-11-15,CLE,ATL,,7.0,
186,2014-11-18,ATL,LAL,,,
187,2014-11-21,ATL,DET,,,
188,2014-11-25,WAS,ATL,,4.0,
189,2014-11-26,ATL,TOR,,,
190,2014-11-28,ATL,NOP,,,
191,2014-11-29,ATL,CHO,,,
192,2014-12-02,ATL,BOS,,,
193,2014-12-03,MIA,ATL,,4.5,
194,2014-12-05,BRK,ATL,,-1.0,
195,2014-12-07,ATL,DEN,,,
196,2014-12-08,IND,ATL,,1.0,
197,2014-12-10,ATL,PHI,,,
198,2014-12-12,ATL,ORL,,,
199,2014-12-13,ORL,ATL,,-3.0,
200,2014-12-15,ATL,CHI,,,
201,2014-12-17,CLE,ATL,,6.5,
202,2014-12-20,HOU,ATL,,5.0,
203,2014-12-22,DAL,ATL,,4.5,
204,2014-12-23,ATL,LAC,,,
205,2014-12-26,ATL,MIL,,,
206,2014-12-27,MIL,ATL,,-4.5,
207,2014-12-30,ATL,CLE,,,
208,2015-01-02,UTA,ATL,,-4.5,
209,2015-01-03,POR,ATL,,6.0,
210,2015-01-05,LAC,ATL,,5.5,
211,2015-01-07,ATL,MEM,,,
212,2015-01-09,DET,ATL,,-2.5,
213,2015-01-11,ATL,WAS,,,
214,2015-01-13,PHI,ATL,,-10.0,
215,2015-01-14,BOS,ATL,,-5.0,
216,2015-01-16,TOR,ATL,,-2.0,
217,2015-01-17,CHI,ATL,,-3.5,
218,2015-01-19,ATL,DET,,,
219,2015-01-21,ATL,IND,,,
220,2015-01-23,ATL,OKC,,,
221,2015-01-25,ATL,MIN,,,
222,2015-01-28,ATL,BRK,,,
223,2015-01-30,ATL,POR,,,
224,2015-01-31,ATL,PHI,,,
225,2015-02-02,NOP,ATL,,-3.0,
226,2015-02-04,ATL,WAS,,,
227,2015-02-06,ATL,GSW,,,
228,2015-02-08,MEM,ATL,,3.0,
229,2015-02-09,MIN,ATL,,-6.5,
230,2015-02-11,BOS,ATL,,-6.5,
231,2015-02-20,ATL,TOR,,,
232,2015-02-22,MIL,ATL,,-5.0,
233,2015-02-25,ATL,DAL,,,
234,2015-02-27,ATL,ORL,,,
235,2015-02-28,MIA,ATL,,-2.5,
236,2015-03-03,ATL,HOU,,,
237,2015-03-06,ATL,CLE,,,
238,2015-03-07,PHI,ATL,,-7.5,
239,2015-03-09,ATL,SAC,,,
240,2015-03-11,DEN,ATL,,-7.0,
241,2015-03-13,PHO,ATL,,-6.5,
242,2015-03-15,LAL,ATL,,-6.5,
243,2015-03-16,SAC,ATL,,-4.5,
244,2015-03-18,GSW,ATL,,6.5,
245,2015-03-20,OKC,ATL,,-1.0,
246,2015-03-22,ATL,SAS,,,
247,2015-03-25,ORL,ATL,,-9.0,
248,2015-03-27,ATL,MIA,,,
249,2015-03-28,CHO,ATL,,6.0,
250,2015-03-30,ATL,MIL,,,
251,2015-03-31,DET,ATL,,-2.0,
252,2015-04-04,ATL,BRK,,,
253,2015-04-07,ATL,PHO,,,
254,2015-04-08,BRK,ATL,,4.5,
255,2015-04-10,ATL,CHO,,,
256,2015-04-12,WAS,ATL,,9.0,
257,2015-04-13,ATL,NYK,,,
258,2015-04-15,CHI,ATL,,5.0,
259,2015-04-19,ATL,BRK,,,
260,2015-04-22,ATL,BRK,,,
261,2015-04-25,BRK,ATL,,-3.5,
262,2015-04-27,BRK,ATL,,-5.5,
263,2015-04-29,ATL,BRK,,,
264,2015-05-01,BRK,ATL,,-5.0,
265,2015-05-03,ATL,WAS,,,
266,2015-05-05,ATL,WAS,,,
267,2015-05-09,WAS,ATL,,-4.0,
268,2015-05-11,WAS,ATL,,-4.5,
269,2015-05-13,ATL,WAS,,,
270,2015-05-15,WAS,ATL,,2.5,
271,2015-05-20,ATL,CLE,,,
272,2015-05-22,ATL,CLE,,,
273,2015-05-24,CLE,ATL,,8.0,
274,2015-05-26,CLE,ATL,,7.5,
275,2015-10-27,ATL,DET,,,
276,2015-10-29,NYK,ATL,,,
277,2015-10-30,ATL,CHO,,,
278,2015-11-01,CHO,ATL,,-2.0,
279,2015-11-03,MIA,ATL,,4.0,
280,2015-11-04,ATL,BRK,,,
281,2015-11-06,NOP,ATL,,-2.5,
282,2015-11-07,ATL,WAS,,,
283,2015-11-09,ATL,MIN,,,
284,2015-11-11,ATL,NOP,,,
285,2015-11-13,BOS,ATL,,-1.5,
286,2015-11-15,ATL,UTA,,,
287,2015-11-17,BRK,ATL,,-4.5,
288,2015-11-18,ATL,SAC,,,
289,2015-11-21,CLE,ATL,,5.5,
290,2015-11-24,ATL,BOS,,,
291,2015-11-25,MIN,ATL,,-3.0,
292,2015-11-27,MEM,ATL,,3.0,
293,2015-11-28,SAS,ATL,,7.0,
294,2015-11-30,ATL,OKC,,,
295,2015-12-02,ATL,TOR,,,
296,2015-12-04,ATL,LAL,,,
297,2015-12-09,DAL,ATL,,-2.0,
298,2015-12-10,OKC,ATL,,7.5,
299,2015-12-12,ATL,SAS,,,
300,2015-12-14,ATL,MIA,,,
301,2015-12-16,ATL,PHI,,,
302,2015-12-18,BOS,ATL,,3.5,
303,2015-12-20,ORL,ATL,,-1.5,
304,2015-12-21,ATL,POR,,,
305,2015-12-23,ATL,DET,,,
306,2015-12-26,ATL,NYK,,,
307,2015-12-28,IND,ATL,,1.5,
308,2015-12-29,HOU,ATL,,3.5,
309,2016-01-03,NYK,ATL,,-4.5,
310,2016-01-05,ATL,NYK,,,
311,2016-01-07,PHI,ATL,,-9.5,
312,2016-01-09,ATL,CHI,,,
313,2016-01-13,CHO,ATL,,-2.5,
314,2016-01-15,MIL,ATL,,-4.5,
315,2016-01-16,ATL,BRK,,,
316,2016-01-18,ATL,ORL,,,
317,2016-01-20,POR,ATL,,-1.5,
318,2016-01-21,SAC,ATL,,-1.0,
319,2016-01-23,PHO,ATL,,-10.0,
320,2016-01-25,DEN,ATL,,-4.0,
321,2016-01-27,ATL,LAC,,,
322,2016-01-28,IND,ATL,,3.0,
323,2016-01-31,MIA,ATL,,-3.0,
324,2016-02-01,ATL,DAL,,,
325,2016-02-03,PHI,ATL,,-7.5,
326,2016-02-05,ATL,IND,,,
327,2016-02-07,ORL,ATL,,-3.5,
328,2016-02-08,ATL,ORL,,,
329,2016-02-10,CHI,ATL,,-3.5,
330,2016-02-19,ATL,MIA,,,
331,2016-02-20,ATL,MIL,,,
332,2016-02-22,ATL,GSW,,,
333,2016-02-26,ATL,CHI,,,
334,2016-02-28,ATL,CHO,,,
335,2016-03-01,GSW,ATL,,5.5,
336,2016-03-04,LAL,ATL,,-10.5,
337,2016-03-05,LAC,ATL,,5.5,
338,2016-03-08,UTA,ATL,,2.5,
339,2016-03-10,TOR,ATL,,3.5,
340,2016-03-12,ATL,MEM,,,
341,2016-03-13,ATL,IND,,,
342,2016-03-16,DET,ATL,,-1.0,
343,2016-03-17,ATL,DEN,,,
344,2016-03-19,ATL,HOU,,,
345,2016-03-21,ATL,WAS,,,
346,2016-03-23,WAS,ATL,,1.0,
347,2016-03-25,ATL,MIL,,,
348,2016-03-26,DET,ATL,,1.5,
349,2016-03-28,CHI,ATL,,-3.5,
350,2016-03-30,TOR,ATL,,1.0,
351,2016-04-01,ATL,CLE,,,
352,2016-04-05,ATL,PHO,,,
353,2016-04-07,ATL,TOR,,,
354,2016-04-09,ATL,BOS,,,
355,2016-04-11,CLE,ATL,,6.5,
356,2016-04-13,WAS,ATL,,-9.0,
357,2016-04-16,ATL,BOS,,,
358,2016-04-19,ATL,BOS,,,
359,2016-04-22,BOS,ATL,,3.0,
360,2016-04-24,BOS,ATL,,-1.0,
361,2016-04-26,ATL,BOS,,,
362,2016-04-28,BOS,ATL,,-3.0,
363,2016-05-02,CLE,ATL,,8.0,
364,2016-05-04,CLE,ATL,,7.0,
365,2016-05-06,ATL,CLE,,,
366,2016-05-08,ATL,CLE,,,
367,2016-10-27,ATL,WAS,,,
368,2016-10-29,PHI,ATL,,,
369,2016-10-31,ATL,SAC,,,
370,2016-11-02,ATL,LAL,,,
371,2016-11-04,WAS,ATL,,1.5,
372,2016-11-05,ATL,HOU,,,
373,2016-11-08,CLE,ATL,,7.5,
374,2016-11-09,ATL,CHI,,,
375,2016-11-12,ATL,PHI,,,
376,2016-11-15,MIA,ATL,,-6.5,
377,2016-11-16,ATL,MIL,,,
378,2016-11-18,CHO,ATL,,2.0,
379,2016-11-20,NYK,ATL,,-4.5,
380,2016-11-22,ATL,NOP,,,
381,2016-11-23,IND,ATL,,-1.0,
382,2016-11-25,UTA,ATL,,3.5,
383,2016-11-27,LAL,ATL,,-5.5,
384,2016-11-28,GSW,ATL,,14.0,
385,2016-11-30,PHO,ATL,,-4.0,
386,2016-12-02,ATL,DET,,,
387,2016-12-03,TOR,ATL,,8.5,
388,2016-12-05,ATL,OKC,,,
389,2016-12-07,ATL,MIA,,,
390,2016-12-09,MIL,ATL,,3.0,
391,2016-12-13,ATL,ORL,,,
392,2016-12-16,TOR,ATL,,6.5,
393,2016-12-17,ATL,CHO,,,
394,2016-12-19,OKC,ATL,,3.0,
395,2016-12-21,ATL,MIN,,,
396,2016-12-23,DEN,ATL,,6.0,
397,2016-12-26,MIN,ATL,,-1.5,
398,2016-12-28,ATL,NYK,,,
399,2016-12-30,ATL,DET,,,
400,2017-01-01,ATL,SAS,,,
401,2017-01-04,ORL,ATL,,-2.0,
402,2017-01-05,NOP,ATL,,2.0,
403,2017-01-07,DAL,ATL,,-1.0,
404,2017-01-10,BRK,ATL,,-8.5,
405,2017-01-13,ATL,BOS,,,
406,2017-01-15,ATL,MIL,,,
407,2017-01-16,NYK,ATL,,-2.0,
408,2017-01-18,DET,ATL,,-2.5,
409,2017-01-20,ATL,CHI,,,
410,2017-01-21,ATL,PHI,,,
411,2017-01-23,ATL,LAC,,,
412,2017-01-25,CHI,ATL,,-1.5,
413,2017-01-27,ATL,WAS,,,
414,2017-01-29,ATL,NYK,,,
415,2017-02-01,MIA,ATL,,1.5,
416,2017-02-02,HOU,ATL,,9.5,
417,2017-02-04,ATL,ORL,,,
418,2017-02-06,ATL,UTA,,,
419,2017-02-08,ATL,DEN,,,
420,2017-02-10,SAC,ATL,,-1.5,
421,2017-02-13,POR,ATL,,2.0,
422,2017-02-15,LAC,ATL,,3.5,
423,2017-02-24,ATL,MIA,,,
424,2017-02-25,ORL,ATL,,-4.0,
425,2017-02-27,BOS,ATL,,5.0,
426,2017-03-01,ATL,DAL,,,
427,2017-03-03,ATL,CLE,,,
428,2017-03-05,ATL,IND,,,
429,2017-03-06,ATL,GSW,,,
430,2017-03-08,ATL,BRK,,,
431,2017-03-10,ATL,TOR,,,
432,2017-03-11,MEM,ATL,,6.5,
433,2017-03-13,SAS,ATL,,7.0,
434,2017-03-16,ATL,MEM,,,
435,2017-03-18,ATL,POR,,,
436,2017-03-20,CHO,ATL,,6.0,
437,2017-03-22,WAS,ATL,,7.5,
438,2017-03-24,MIL,ATL,,7.0,
439,2017-03-26,ATL,BRK,,,
440,2017-03-28,ATL,PHO,,,
441,2017-03-29,PHI,ATL,,-2.5,
442,2017-04-01,CHI,ATL,,5.5,
443,2017-04-02,BRK,ATL,,-3.5,
444,2017-04-06,ATL,BOS,,,
445,2017-04-07,CLE,ATL,,15.5,
446,2017-04-09,ATL,CLE,,,
447,2017-04-11,ATL,CHO,,,
448,2017-04-12,IND,ATL,,15.0,
449,2017-04-16,WAS,ATL,,5.5,
450,2017-04-19,WAS,ATL,,5.5,
451,2017-04-22,ATL,WAS,,,
452,2017-04-24,ATL,WAS,,,
453,2017-04-26,WAS,ATL,,6.0,
454,2017-04-28,ATL,WAS,,,
455,2017-10-18,DAL,ATL,,,
456,2017-10-20,CHO,ATL,,,
457,2017-10-22,BRK,ATL,,,
458,2017-10-23,MIA,ATL,,,
459,2017-10-26,CHI,ATL,,,
460,2017-10-27,ATL,DEN,,,
461,2017-10-29,ATL,MIL,,,
462,2017-11-01,PHI,ATL,,7.5,
463,2017-11-03,ATL,HOU,,,
464,2017-11-05,CLE,ATL,,11.5,
465,2017-11-06,ATL,BOS,,,
466,2017-11-10,DET,ATL,,7.5,
467,2017-11-11,WAS,ATL,,10.0,
468,2017-11-13,NOP,ATL,,9.5,
469,2017-11-15,ATL,SAC,,,
470,2017-11-18,ATL,BOS,,,
471,2017-11-20,SAS,ATL,,9.0,
472,2017-11-22,ATL,LAC,,,
473,2017-11-24,ATL,NYK,,,
474,2017-11-25,ATL,TOR,,,
475,2017-11-30,ATL,CLE,,,
