,Date,Away,Home,Favorite,Line,Over/Under
0,2020-12-22,GSW,BKN,BKN,-7.0,235.0
1,2020-12-22,LAC,LAL,LAL,-2.0,219.5
2,2020-12-23,CHA,CLE,CHA,-3.0,217.0
3,2020-12-23,NYK,IND,IND,-7.5,215.5
4,2020-12-23,MIA,ORL,MIA,-4.5,218.0
5,2020-12-23,WAS,PHI,PHI,-7.5,230.5
6,2020-12-23,NOP,TOR,TOR,-3.5,228.5
7,2020-12-23,ATL,CHI,ATL,-2.0,234.0
8,2020-12-23,OKC,HOU,HOU,-7.5,217.5
9,2020-12-23,SAS,MEM,MEM,-2.0,230.0
10,2020-12-23,DET,MIN,MIN,-5.5,224.5
11,2020-12-23,SAC,DEN,DEN,-7.5,226.5
12,2020-12-23,UTA,POR,UTA,-1.5,226.0
13,2020-12-26,ATL,MEM,MEM,-2.5,238.5
14,2020-12-26,OKC,CHA,CHA,-2.5,219.5
15,2020-12-26,CLE,DET,DET,-1.0,214.0
16,2020-12-26,ORL,WAS,WAS,-2.0,232.5
17,2020-12-26,PHI,NYK,PHI,-8.0,215.0
18,2020-12-26,IND,CHI,IND,-6.0,223.5
19,2020-12-26,TOR,SAS,TOR,-2.5,228.0
20,2020-12-26,MIN,UTA,UTA,-9.5,229.0
21,2020-12-26,HOU,POR,POR,-7.5,225.5
22,2020-12-26,PHX,SAC,PHX,-3.5,227.0
23,2020-12-27,DAL,LAC,LAC,-3.0,226.5
24,2020-12-27,BKN,CHA,BKN,-11.0,233.0
25,2020-12-27,ORL,WAS,WAS,-3.5,231.0
26,2020-12-27,SAS,NOP,NOP,-5.0,227.5
27,2020-12-27,PHI,CLE,PHI,-5.5,218.0
28,2020-12-27,MIL,NYK,MIL,-13.0,222.0
29,2020-12-27,BOS,IND,BOS,-3.0,220.5
30,2020-12-27,GSW,CHI,GSW,-3.5,229.5
31,2020-12-27,PHX,SAC,PHX,-3.5,226.0
32,2020-12-27,MIN,LAL,LAL,-10.5,229.0
33,2020-12-28,DET,ATL,ATL,-10.0,223.5
34,2020-12-28,MEM,BKN,MEM,-2.5,227.5
35,2020-12-28,UTA,OKC,UTA,-9.0,218.0
36,2020-12-28,HOU,DEN,DEN,-6.5,222.0
37,2020-12-28,POR,LAL,LAL,-1.5,229.0
38,2020-12-29,NYK,CLE,CLE,-3.5,217.0
39,2020-12-29,GSW,DET,GSW,-3.5,222.5
40,2020-12-29,BOS,IND,BOS,-1.0,219.0
41,2020-12-29,TOR,PHI,PHI,-2.5,218.5
42,2020-12-29,CHI,WAS,WAS,-5.5,234.0
43,2020-12-29,MIL,MIA,MIL,-5.5,222.5
44,2020-12-29,ORL,OKC,ORL,-5.0,219.5
45,2020-12-29,NOP,PHX,PHX,-3.0,223.0
46,2020-12-29,MIN,LAC,LAC,-8.5,225.5
47,2020-12-29,DEN,SAC,DEN,-2.5,223.5
48,2020-12-30,MEM,BOS,BOS,-7.0,218.5
49,2020-12-30,ATL,BKN,BKN,-5.5,240.0
50,2020-12-30,MIL,MIA,MIL,-6.0,228.5
51,2020-12-30,CHA,DAL,DAL,-8.0,224.5
52,2020-12-30,LAL,SAS,LAL,-7.5,231.5
53,2020-12-30,POR,LAC,LAC,-1.5,225.5
54,2020-12-31,CLE,IND,IND,-8.0,219.5
55,2020-12-31,CHI,WAS,WAS,-7.5,235.5
56,2020-12-31,PHI,ORL,PHI,-3.5,219.5
57,2020-12-31,SAC,HOU,HOU,-5.0,231.5
58,2020-12-31,NYK,TOR,TOR,-8.0,215.0
59,2020-12-31,NOP,OKC,NOP,-5.5,214.5
60,2020-12-31,PHX,UTA,UTA,-4.0,219.5
61,2021-01-01,MEM,CHA,CHA,-4.0,220.0
62,2021-01-01,BOS,DET,BOS,-8.5,213.5
63,2021-01-01,MIA,DAL,DAL,-3.5,224.5
64,2021-01-01,ATL,BKN,BKN,-6.0,244.5
65,2021-01-01,CHI,MIL,MIL,-14.5,233.0
66,2021-01-01,WAS,MIN,MIN,-1.0,234.5
67,2021-01-01,LAL,SAS,LAL,-7.5,229.0
68,2021-01-01,PHX,DEN,DEN,-3.5,220.5
69,2021-01-01,LAC,UTA,LAC,-3.5,219.5
70,2021-01-01,POR,GSW,POR,-3.5,237.5
71,2021-01-02,SAC,HOU,HOU,-3.5,230.0
72,2021-01-02,NYK,IND,IND,-9.5,215.0
73,2021-01-02,OKC,ORL,ORL,-4.5,216.0
74,2021-01-02,CHA,PHI,PHI,-10.0,217.0
75,2021-01-02,CLE,ATL,ATL,-5.5,229.0
76,2021-01-02,TOR,NOP,TOR,-1.0,215.5
77,2021-01-03,BOS,DET,BOS,-8.0,213.5
78,2021-01-03,WAS,BKN,BKN,-7.5,241.5
79,2021-01-03,LAL,MEM,LAL,-10.0,220.5
80,2021-01-03,DEN,MIN,DEN,-8.5,226.0
81,2021-01-03,UTA,SAS,UTA,-5.5,222.5
82,2021-01-03,DAL,CHI,DAL,-4.0,222.5
83,2021-01-03,LAC,PHX,LAC,-3.5,215.5
84,2021-01-03,POR,GSW,POR,-4.5,235.0
85,2021-01-04,CLE,ORL,ORL,-6.0,214.5
86,2021-01-04,CHA,PHI,PHI,-8.0,221.5
87,2021-01-04,NYK,ATL,ATL,-7.0,224.5
88,2021-01-04,OKC,MIA,MIA,-9.0,214.5
89,2021-01-04,BOS,TOR,TOR,-1.5,217.0
90,2021-01-04,DAL,HOU,HOU,-4.0,229.5
91,2021-01-04,DET,MIL,MIL,-11.5,223.5
92,2021-01-04,IND,NOP,NOP,-1.5,216.0
93,2021-01-04,SAC,GSW,SAC,-1.5,235.0
94,2021-01-05,UTA,BKN,UTA,-4.5,225.0
95,2021-01-05,LAL,MEM,LAL,-9.5,218.5
96,2021-01-05,MIN,DEN,DEN,-10.5,226.5
97,2021-01-05,SAS,LAC,LAC,-7.0,225.5
98,2021-01-05,CHI,POR,POR,-9.5,232.5
99,2021-01-06,HOU,IND,IND,-3.0,225.0
100,2021-01-06,CLE,ORL,ORL,-5.0,214.5
101,2021-01-06,WAS,PHI,PHI,-6.5,235.0
102,2021-01-06,CHA,ATL,ATL,-6.0,232.5
103,2021-01-06,BOS,MIA,MIA,-2.5,217.5
104,2021-01-06,UTA,NYK,UTA,-8.0,214.5
105,2021-01-06,DET,MIL,MIL,-12.0,226.5
106,2021-01-06,OKC,NOP,NOP,-8.0,213.5
107,2021-01-06,TOR,PHX,PHX,-3.0,219.0
108,2021-01-06,LAC,GSW,LAC,-5.0,231.0
109,2021-01-06,CHI,SAC,SAC,-7.0,228.5
110,2021-01-07,PHI,BKN,PHI,-4.0,222.5
111,2021-01-07,CLE,MEM,MEM,-5.0,210.0
112,2021-01-07,DAL,DEN,DEN,-2.5,222.5
113,2021-01-07,SAS,LAL,LAL,-8.5,226.5
114,2021-01-07,MIN,POR,POR,-10.0,233.0
115,2021-01-08,PHX,DET,PHX,-8.0,216.0
116,2021-01-08,WAS,BOS,BOS,-3.5,237.5
117,2021-01-08,OKC,NYK,NYK,-3.0,212.0
118,2021-01-08,CHA,NOP,NOP,-7.5,218.0
