,index,Unnamed: 0,home,fg_r,fga_r,3p_r,3pa_r,3p_max_r,ft_r,fta_r,orb_r,drb_r,ast_r,stl_r,blk_r,tov_r,fg_opp_r,fga_opp_r,3p_opp_r,3pa_opp_r,3p_max_opp_r,ft_opp_r,fta_opp_r,orb_opp_r,drb_opp_r,ast_opp_r,stl_opp_r,blk_opp_r,tov_opp_r,team,team_opp,date,PointDifference,Line,Covered
310,310,484,1,38.4,82.2,10.8,35.0,3.6,19.4,25.2,8.4,30.6,18.6,9.2,3.2,14.2,38.8,84.4,9.4,29.4,3.6,18.2,23.2,12.8,29.6,23.0,8.0,4.2,15.0,DAL,BKN,11/7/2022,-2,-6.0,0
311,311,1594,0,42.2,92.6,8.6,31.2,2.6,15.0,20.6,10.4,31.0,23.4,9.2,6.8,13.0,39.8,89.8,12.4,36.0,3.2,20.2,24.0,13.2,38.4,22.4,6.6,6.4,18.0,OKC,DET,11/7/2022,9,-1.5,0
312,312,644,1,36.8,86.0,11.0,32.6,3.0,20.8,24.4,10.4,33.0,19.4,7.2,4.8,16.0,41.0,90.8,10.8,35.2,4.2,18.2,22.2,13.6,33.8,24.0,8.8,7.6,14.8,DET,OKC,11/7/2022,-9,1.5,1
313,313,1989,0,40.8,86.2,14.6,38.2,4.6,19.8,25.2,7.0,33.6,26.0,5.4,3.4,15.0,43.8,88.4,10.8,30.4,4.0,15.6,19.8,7.8,35.0,26.2,7.2,4.4,14.2,SAC,GSW,11/7/2022,3,8.0,1
314,314,723,1,41.4,86.4,15.0,40.2,5.6,16.8,20.6,8.6,30.4,27.2,6.6,3.4,17.0,40.0,84.2,13.8,34.8,3.6,26.4,32.4,10.0,32.4,24.8,7.8,2.8,14.8,GSW,SAC,11/7/2022,-3,-8.0,0
315,315,1436,0,45.8,96.2,11.2,29.4,3.4,14.4,20.6,12.8,35.2,29.2,8.8,3.6,12.8,41.2,88.8,12.8,38.2,4.0,18.6,21.8,8.8,35.0,27.6,6.8,6.2,16.6,NOP,IND,11/7/2022,7,-5.0,0
316,316,1358,1,40.8,83.6,11.8,35.2,3.8,19.0,23.4,8.2,32.2,27.6,5.8,5.4,18.4,41.6,88.8,17.0,40.4,5.6,19.2,25.2,9.0,30.4,28.8,9.8,3.0,14.2,MIN,PHX,11/9/2022,12,-2.0,0
317,317,1278,0,41.6,92.0,14.8,39.8,4.2,16.6,21.4,11.4,39.4,24.8,8.8,5.8,16.2,40.8,93.0,12.6,36.2,3.4,13.0,16.8,9.8,34.8,21.8,7.0,4.4,15.4,MIL,OKC,11/9/2022,-4,-1.0,1
318,318,1595,1,43.4,97.0,11.2,35.2,3.0,13.0,18.2,11.8,31.2,23.2,9.2,7.4,12.6,42.2,92.0,14.2,35.2,3.6,18.6,21.6,13.0,39.8,24.4,6.6,6.8,18.0,OKC,MIL,11/9/2022,4,1.0,0
319,319,485,0,37.2,80.2,11.4,35.4,3.8,16.4,22.2,6.8,28.2,18.6,10.4,3.0,11.8,37.2,81.2,10.0,28.6,3.4,16.2,21.2,11.8,31.0,22.0,6.4,4.2,15.6,DAL,ORL,11/9/2022,7,-8.0,0
320,320,1676,1,42.4,82.4,9.4,25.6,2.8,22.2,27.6,9.0,36.8,22.8,6.4,6.0,19.4,44.0,91.4,15.8,41.4,4.8,14.6,21.0,8.2,27.0,26.2,9.2,5.2,13.4,ORL,DAL,11/9/2022,-7,8.0,1
321,321,1121,0,43.6,92.2,13.4,33.8,5.0,14.2,18.4,13.2,37.6,26.6,5.8,4.6,14.4,39.0,90.2,10.6,35.0,3.0,18.0,23.6,12.6,31.4,26.0,6.8,4.6,15.0,MEM,SAS,11/9/2022,-2,-5.0,0
322,322,1990,1,40.4,86.2,15.2,39.8,4.0,21.6,26.4,6.2,30.6,26.6,7.6,3.0,12.8,45.4,87.8,10.8,30.0,4.2,13.8,17.6,8.4,36.0,27.4,6.6,4.0,16.2,SAC,CLE,11/9/2022,-7,4.5,1
323,323,1833,0,38.2,84.8,12.8,32.2,3.8,19.0,22.6,9.4,28.6,25.8,8.4,6.8,12.8,36.4,81.8,10.2,26.2,4.0,19.8,25.2,10.4,31.6,24.8,5.0,5.2,16.8,PHX,MIN,11/9/2022,-12,2.0,1
324,324,2071,1,41.6,88.4,12.4,34.8,4.0,12.0,18.4,9.6,27.6,28.2,8.0,3.6,17.4,49.8,91.8,13.2,30.2,4.4,11.4,15.6,9.6,37.2,30.2,10.0,4.0,16.4,SAS,MEM,11/9/2022,2,5.0,1
325,325,804,0,38.8,86.2,13.6,37.4,3.4,19.6,26.2,13.0,30.2,24.2,9.2,5.2,18.0,42.8,87.0,12.6,34.2,4.8,17.0,21.4,11.8,30.6,25.4,9.4,6.8,16.6,HOU,TOR,11/9/2022,7,10.0,1
326,326,406,0,42.4,86.8,11.4,31.2,5.2,19.2,23.4,10.0,37.2,25.2,5.6,5.2,15.2,37.8,83.6,13.2,36.4,3.6,20.6,25.2,6.6,30.2,23.0,7.8,5.0,13.2,CLE,SAC,11/9/2022,7,-4.5,0
327,327,963,1,41.4,82.2,12.8,34.0,4.2,15.8,21.0,5.2,33.0,22.2,9.0,4.4,13.4,39.4,84.4,12.8,34.8,5.2,15.4,20.6,9.4,34.2,22.6,6.8,3.0,16.8,LAC,LAL,11/9/2022,-13,-3.0,1
328,328,2150,1,43.6,96.8,11.8,35.2,5.0,16.8,20.6,15.4,30.0,24.4,11.8,7.2,13.2,39.0,84.6,11.4,35.2,3.2,17.6,21.0,11.8,32.4,27.6,7.2,6.6,19.0,TOR,HOU,11/9/2022,-7,-10.0,0
329,329,883,1,41.2,88.6,16.4,42.8,5.6,17.8,22.8,10.6,33.8,28.6,8.0,4.8,17.6,41.2,85.6,12.4,34.0,3.8,20.2,23.0,8.8,32.2,26.2,8.8,6.2,15.4,IND,DEN,11/9/2022,3,5.0,1
330,330,1041,0,41.0,87.6,9.6,29.0,3.4,19.0,23.8,9.0,34.0,23.4,6.0,5.0,15.0,46.0,93.0,12.2,33.6,3.4,18.6,23.0,10.2,35.6,27.8,9.0,5.6,12.4,LAL,LAC,11/9/2022,13,3.0,0
331,331,2230,0,44.6,90.2,15.0,37.4,4.8,16.6,19.2,11.4,32.2,26.8,6.8,4.2,14.2,43.2,89.0,9.4,29.8,3.2,15.4,19.4,8.8,30.4,20.6,7.6,4.4,12.4,UTA,ATL,11/9/2022,-6,4.5,1
332,332,10,1,45.4,100.4,10.2,31.2,3.2,15.2,18.8,13.0,35.0,26.2,8.0,4.8,12.2,42.0,94.2,12.2,34.4,4.0,20.2,25.6,12.4,36.2,23.8,6.8,7.8,13.8,ATL,UTA,11/9/2022,6,-4.5,0
333,333,645,0,36.2,87.2,9.6,32.6,2.6,20.2,24.8,11.0,32.6,17.6,7.8,4.8,15.0,42.6,90.0,12.0,36.6,4.4,16.6,21.4,12.6,35.0,25.6,8.2,7.6,14.4,DET,BOS,11/9/2022,16,13.5,0
334,334,1516,0,37.4,87.2,12.2,37.4,4.0,18.6,22.8,10.8,36.2,23.2,6.4,5.4,16.2,41.6,92.2,15.4,41.4,5.0,15.0,18.6,10.6,34.0,28.6,9.2,5.4,13.0,NYK,BKN,11/9/2022,27,3.0,0
335,335,89,1,42.2,86.8,15.4,41.2,4.2,21.4,25.4,7.6,35.0,27.4,5.0,5.6,13.2,41.8,90.6,11.0,34.2,3.8,19.2,23.8,9.6,35.4,21.8,6.2,4.0,12.4,BOS,DET,11/9/2022,-16,-13.5,1
336,336,1437,0,45.0,94.4,8.8,26.0,2.8,19.0,26.2,13.0,35.0,26.8,8.6,4.4,14.0,42.8,89.0,12.0,35.8,4.0,20.2,22.8,8.4,34.6,27.4,7.2,6.6,16.8,NOP,CHI,11/9/2022,-4,-2.0,1
337,337,249,1,41.4,85.2,10.8,30.0,3.6,16.6,19.2,9.0,34.6,25.8,6.2,7.8,17.8,39.8,89.4,7.6,29.4,4.0,20.0,26.6,12.2,31.6,23.6,9.2,8.2,13.6,CHI,NOP,11/9/2022,4,2.0,0
338,338,1912,0,37.4,80.0,11.4,28.4,3.8,16.0,22.2,9.4,32.6,26.8,5.6,3.8,17.8,36.6,84.6,12.4,34.2,3.8,18.6,23.0,11.8,28.8,25.0,8.6,5.6,13.2,POR,CHA,11/9/2022,-10,-2.0,1
339,339,327,1,35.4,91.2,8.8,34.6,4.0,15.6,22.0,15.0,30.0,22.8,8.8,7.0,14.0,40.6,85.0,11.6,31.2,3.8,16.6,22.6,11.2,37.6,26.8,5.4,7.8,15.8,CHA,POR,11/9/2022,10,2.0,0
340,340,565,0,45.8,88.6,13.6,30.4,4.0,13.8,18.0,10.0,35.8,30.6,8.4,4.8,16.6,43.6,89.4,11.4,32.8,4.0,13.4,19.0,10.0,30.2,26.0,9.0,4.6,15.0,DEN,IND,11/9/2022,-3,-5.0,0
341,341,169,1,39.2,83.0,12.4,31.8,4.0,15.4,18.8,9.0,34.2,26.8,8.8,6.8,12.6,32.2,83.4,11.6,35.4,4.6,17.8,23.2,10.8,33.2,19.8,5.4,4.0,14.8,BKN,NYK,11/9/2022,-27,-3.0,1
342,342,1438,1,42.2,89.8,9.2,26.6,2.8,19.8,26.8,12.6,34.2,23.6,7.2,4.4,14.8,41.2,86.4,12.4,35.4,4.0,20.2,23.4,8.4,32.6,26.4,7.6,5.4,15.0,NOP,POR,11/10/2022,11,-9.5,0
343,343,2308,1,39.8,84.2,7.6,29.0,2.6,17.8,22.8,9.4,36.6,23.2,4.0,5.6,12.2,41.4,90.4,13.0,34.4,4.2,13.6,18.2,9.8,33.4,24.6,7.2,3.6,9.4,WAS,DAL,11/10/2022,-8,6.0,1
344,344,486,0,36.4,80.8,12.8,37.8,4.6,14.8,20.8,7.2,28.6,19.4,10.2,3.0,13.4,38.0,81.8,10.2,28.8,3.8,16.0,19.8,11.2,32.6,23.0,7.0,4.2,16.6,DAL,WAS,11/10/2022,8,-6.0,0
345,345,1913,0,37.6,79.2,11.2,28.6,4.0,15.8,22.2,8.4,33.6,26.4,6.2,3.6,15.4,35.6,83.8,11.8,34.2,3.4,18.0,22.4,11.6,28.8,23.2,7.8,5.6,13.8,POR,NOP,11/10/2022,-11,9.5,1
346,346,11,1,45.4,101.2,9.2,30.6,3.0,15.2,18.4,13.8,37.6,24.4,9.4,4.4,12.2,39.2,92.4,10.6,33.6,3.4,18.6,23.6,11.8,37.0,21.8,6.2,7.0,16.0,ATL,PHI,11/10/2022,-9,-1.0,1
347,347,328,0,36.8,90.4,10.2,36.0,4.4,16.2,22.8,14.0,31.6,23.0,7.2,5.0,14.8,40.8,85.4,10.8,32.2,3.6,19.2,26.2,10.6,35.6,25.4,6.0,6.2,14.0,CHA,MIA,11/10/2022,5,11.0,1
348,348,1755,0,37.0,85.6,12.4,35.0,4.4,19.2,24.4,9.4,31.8,23.0,8.8,4.6,13.6,38.2,80.0,7.2,24.8,2.4,22.4,26.0,8.6,36.4,22.2,6.6,5.6,14.8,PHI,ATL,11/10/2022,9,1.0,0
349,349,1200,1,38.8,86.4,12.4,38.0,3.4,19.8,22.0,7.8,31.6,25.0,8.4,2.6,13.0,39.6,82.0,14.6,40.0,5.0,14.0,19.0,6.2,35.6,27.6,6.0,3.4,17.8,MIA,CHA,11/10/2022,-5,-11.0,0
350,350,1517,1,38.4,88.0,12.2,38.2,4.2,21.0,24.6,11.6,34.4,23.2,7.2,4.2,15.2,40.2,86.8,14.4,40.8,4.6,18.8,23.6,9.6,33.4,27.4,8.2,5.8,14.6,NYK,DET,11/11/2022,-9,-9.0,0
351,351,2072,1,42.8,86.6,12.0,32.4,4.4,12.2,18.6,8.8,29.2,26.8,8.0,5.0,16.6,44.8,90.2,12.8,32.2,4.8,11.8,17.0,12.0,34.4,28.4,8.2,3.8,16.8,SAS,MIL,11/11/2022,-18,-1.5,1
352,352,1279,0,39.4,93.2,15.2,40.8,4.4,16.0,21.2,12.6,37.4,24.4,6.8,5.8,15.6,42.8,94.2,12.8,36.2,3.8,12.8,16.8,11.2,36.4,22.6,6.2,6.4,15.0,MIL,SAS,11/11/2022,18,1.5,0
353,353,1677,1,43.2,81.4,10.4,26.4,3.0,20.8,26.6,8.4,37.6,23.4,5.4,4.8,17.2,42.6,91.4,16.4,43.0,5.2,13.0,18.8,8.8,26.8,25.0,8.0,4.2,12.6,ORL,PHX,11/11/2022,-17,7.5,1
354,354,1834,0,37.6,86.0,12.0,32.0,3.4,17.2,20.0,10.2,28.6,24.0,8.0,6.0,13.2,37.6,80.8,10.6,26.0,3.6,18.4,23.4,10.2,33.4,24.6,4.4,5.2,16.2,PHX,ORL,11/11/2022,17,-7.5,0
355,355,1596,1,44.8,96.6,12.2,35.6,3.4,12.4,17.6,13.2,31.4,23.8,8.6,6.8,13.4,42.0,92.2,14.4,35.4,3.8,19.8,24.8,13.4,37.4,24.4,7.8,5.6,16.4,OKC,TOR,11/11/2022,-19,5.5,1
356,356,2151,0,39.8,93.2,11.2,34.6,5.0,19.0,24.6,16.4,26.8,22.2,11.2,6.8,14.2,42.0,84.4,11.6,33.8,3.6,17.8,21.6,12.2,31.6,28.0,8.6,6.6,18.2,TOR,OKC,11/11/2022,19,-5.5,0
357,357,646,0,35.4,84.8,9.4,33.0,2.6,22.8,28.8,10.8,32.8,18.2,7.2,5.4,15.6,43.4,91.4,11.8,36.6,4.0,17.4,21.4,13.0,34.0,26.2,8.6,7.2,13.4,DET,NYK,11/11/2022,9,9.0,0
358,358,566,0,46.0,87.8,13.0,28.2,4.4,14.4,18.4,9.6,34.2,31.0,8.4,3.4,15.8,44.4,88.2,12.0,34.2,4.6,13.2,19.0,9.4,29.8,27.2,8.6,4.6,14.8,DEN,BOS,11/11/2022,19,4.0,0
359,359,1359,0,40.8,82.0,11.2,34.4,3.4,18.8,23.0,7.6,31.0,28.6,6.8,5.4,18.0,42.2,88.6,15.0,38.4,4.6,19.6,26.2,10.6,31.2,27.6,9.6,2.0,15.0,MIN,MEM,11/11/2022,11,4.0,0
360,360,1042,1,40.4,85.6,9.6,26.8,3.2,19.0,24.4,9.6,30.4,21.8,7.0,4.4,14.4,45.6,90.0,13.0,35.8,3.6,19.2,23.0,10.0,33.6,26.2,9.0,5.4,12.8,LAL,SAC,11/11/2022,6,4.0,0
361,361,1991,0,42.0,86.6,14.2,38.2,3.8,20.4,25.0,6.2,30.2,26.8,8.0,3.0,12.0,45.2,88.6,10.0,29.2,4.2,16.2,20.0,10.0,35.0,25.6,6.6,3.8,15.0,SAC,LAL,11/11/2022,-6,-4.0,1
362,362,724,1,41.6,84.4,15.6,39.6,5.8,14.2,18.4,7.6,31.8,28.4,6.0,3.2,17.0,39.4,86.0,12.6,34.2,3.4,23.4,30.0,10.4,31.8,25.0,8.2,2.8,13.8,GSW,CLE,11/11/2022,-5,-3.0,1
363,363,407,0,41.4,85.2,10.8,29.4,4.8,19.2,23.8,11.0,35.2,25.4,5.6,5.0,15.0,38.2,81.4,14.0,35.4,4.2,17.6,22.6,6.6,28.6,23.6,7.8,3.8,13.2,CLE,GSW,11/11/2022,5,3.0,0
364,364,90,1,44.6,86.2,16.4,40.4,4.8,19.2,24.0,8.0,33.4,28.2,4.6,4.8,11.8,41.8,89.0,11.2,32.2,3.8,18.6,23.0,10.0,32.4,22.2,5.6,3.4,11.2,BOS,DEN,11/11/2022,-19,-4.0,1
365,365,1122,1,44.8,93.2,12.2,34.8,4.4,13.6,18.4,14.2,36.6,26.0,6.0,4.2,14.2,39.2,88.2,10.0,34.4,2.8,17.6,22.8,10.8,30.6,26.4,7.8,4.8,13.8,MEM,MIN,11/11/2022,-11,-4.0,1
366,366,805,0,40.0,84.4,14.4,39.0,4.0,19.0,25.2,13.6,29.4,25.6,8.8,4.4,20.6,43.8,86.8,12.4,32.8,4.2,20.0,24.2,12.6,27.8,26.4,10.6,5.0,16.4,HOU,NOP,11/12/2022,13,11.0,0
367,367,2309,1,39.6,86.2,9.8,32.0,3.0,16.0,20.4,9.2,37.4,23.2,4.4,5.4,12.6,42.4,92.4,12.0,35.2,4.0,12.8,16.4,10.0,35.2,26.2,7.4,4.0,10.2,WAS,UTA,11/12/2022,-9,4.5,1
368,368,2231,0,45.6,92.2,15.8,39.4,4.8,16.2,18.6,10.4,33.6,27.8,6.4,4.6,13.4,43.6,89.8,10.4,29.4,3.2,17.2,20.4,8.6,32.4,22.0,7.0,5.2,12.0,UTA,WAS,11/12/2022,9,-4.5,0
369,369,1756,1,36.6,85.0,11.6,33.8,4.2,21.4,26.6,9.0,31.0,22.6,8.0,5.0,13.4,38.6,81.6,6.4,24.6,2.2,22.0,26.2,9.2,36.2,21.8,5.8,5.2,15.4,PHI,ATL,11/12/2022,-12,-3.0,1
370,370,12,0,44.6,97.6,8.0,28.6,2.4,17.4,20.6,12.8,37.0,22.8,8.0,4.0,14.4,40.6,90.4,10.2,31.2,3.6,20.6,25.8,9.8,34.8,22.0,7.6,6.2,15.2,ATL,PHI,11/12/2022,12,3.0,0
371,371,1439,1,42.4,90.8,8.4,26.6,2.6,21.2,27.2,13.2,33.4,24.4,7.8,4.2,14.2,42.2,88.0,12.4,36.2,4.2,18.4,22.0,9.8,34.0,26.6,7.6,6.0,15.8,NOP,HOU,11/12/2022,-13,-11.0,1
372,372,329,0,39.4,91.2,10.4,36.8,4.8,14.0,19.8,12.4,32.4,23.6,5.8,4.2,13.6,40.6,84.4,10.8,33.2,4.0,20.0,26.8,8.8,34.6,25.0,6.2,5.2,12.8,CHA,MIA,11/12/2022,17,8.0,0
373,373,1201,1,40.6,87.4,12.4,37.8,4.0,19.4,22.2,7.8,33.0,25.0,8.4,3.0,12.4,41.0,83.2,12.8,36.4,5.0,14.2,18.8,5.0,36.0,26.4,5.2,3.0,16.2,MIA,CHA,11/12/2022,-17,-8.0,1
374,374,170,0,40.0,84.8,13.2,32.4,4.0,15.2,19.2,9.4,34.4,26.8,9.8,6.6,11.4,31.2,82.6,11.4,35.6,4.2,17.4,23.0,10.6,33.8,20.2,4.6,4.4,16.2,BKN,LAC,11/12/2022,-15,1.5,1
375,375,964,1,40.0,82.4,12.6,33.6,4.0,16.0,21.2,5.4,33.4,22.6,7.8,4.4,13.8,40.0,83.4,13.8,34.2,5.2,15.0,20.6,7.4,34.4,24.6,6.8,3.2,15.4,LAC,BKN,11/12/2022,15,-1.5,0
376,376,1914,0,36.2,78.2,11.8,30.2,4.6,18.8,26.2,8.6,33.8,24.4,6.2,3.4,14.4,36.6,83.4,11.8,36.0,4.0,18.2,23.4,10.4,30.2,23.2,7.8,5.2,12.6,POR,DAL,11/12/2022,5,6.5,1
377,377,487,1,36.2,80.2,13.4,38.8,5.0,17.4,23.0,7.2,29.2,20.6,10.0,2.6,13.4,37.4,81.0,10.8,29.0,4.0,19.0,24.0,11.2,33.4,21.4,7.0,4.4,15.8,DAL,POR,11/12/2022,-5,-6.5,0
378,378,91,0,44.2,87.8,18.2,43.8,5.6,17.0,21.0,8.4,33.6,28.8,4.8,4.2,10.6,40.6,90.2,12.2,34.2,3.8,17.8,22.2,11.4,33.6,22.6,4.8,3.0,10.6,BOS,DET,11/12/2022,-9,-9.0,0
379,379,884,1,41.4,86.2,15.6,42.2,5.4,16.8,22.2,9.4,34.6,29.0,7.4,5.8,19.8,40.4,88.0,11.0,33.2,3.2,20.8,23.6,10.8,32.0,23.2,10.0,6.0,16.0,IND,TOR,11/12/2022,-14,-3.0,1
380,380,2152,0,39.4,94.4,10.4,34.8,4.6,19.4,25.4,16.0,27.0,21.0,11.6,7.6,12.8,42.4,85.4,13.0,35.6,4.0,17.0,21.2,13.2,34.6,30.0,7.0,7.2,18.8,TOR,IND,11/12/2022,14,3.0,0
381,381,647,1,36.2,86.8,10.4,34.4,2.8,23.6,30.0,12.6,34.0,19.2,6.6,5.4,14.2,42.6,91.2,13.4,38.6,4.6,17.6,21.4,11.8,33.2,26.8,6.4,7.0,11.6,DET,BOS,11/12/2022,9,9.0,0
382,382,2310,1,40.8,86.8,12.0,33.2,3.6,14.6,20.2,9.6,38.6,24.8,5.4,6.0,13.0,40.0,93.6,11.0,35.2,4.0,11.4,15.6,11.4,34.4,24.0,7.2,3.8,12.0,WAS,MEM,11/13/2022,-10,-1.5,1
383,383,1123,0,42.4,92.8,10.8,33.2,3.8,12.2,16.8,13.4,35.6,23.4,6.2,3.4,13.8,39.8,88.2,12.2,37.0,3.6,14.8,20.8,10.2,32.4,27.2,7.4,4.6,13.2,MEM,WAS,11/13/2022,10,1.5,0
384,384,1992,1,43.2,87.6,14.8,38.4,4.0,20.4,26.0,7.2,30.4,27.2,8.8,2.8,12.6,44.8,88.8,11.0,31.8,4.8,17.0,20.6,9.8,34.6,25.6,6.6,3.8,16.4,SAC,GSW,11/13/2022,-7,4.5,1
385,385,725,0,42.2,85.6,15.2,39.2,6.0,14.6,18.2,7.2,32.6,27.6,5.4,3.2,16.6,40.8,86.6,12.6,33.2,3.4,21.8,29.8,10.4,33.0,24.8,8.4,2.6,13.8,GSW,SAC,11/13/2022,7,-4.5,0
386,386,1757,1,36.8,84.8,8.6,31.2,3.6,22.8,27.8,9.4,32.0,21.8,9.8,7.6,14.2,37.0,84.8,7.6,27.8,2.6,19.4,24.4,11.4,35.4,21.0,5.6,4.2,17.4,PHI,UTA,11/13/2022,-7,-3.5,1
387,387,1518,1,40.6,91.4,12.4,37.8,4.2,22.2,25.8,12.2,30.8,23.4,8.8,3.0,13.6,43.8,84.8,15.2,37.6,4.4,19.0,23.4,7.8,34.0,28.2,7.6,5.2,15.4,NYK,OKC,11/13/2022,10,-5.5,0
388,388,2232,0,42.6,90.4,14.6,38.8,5.0,17.0,21.2,11.0,33.4,26.2,5.4,4.8,15.2,43.6,89.8,9.0,28.8,3.0,16.4,20.0,8.4,32.4,21.8,8.2,6.8,12.2,UTA,PHI,11/13/2022,7,3.5,0
389,389,1043,1,41.2,87.2,9.6,27.0,3.4,17.4,22.8,10.2,30.8,22.4,6.4,3.6,14.0,42.4,85.4,11.0,33.2,3.4,22.2,27.2,8.6,33.6,24.4,8.4,5.8,13.6,LAL,BKN,11/13/2022,-13,5.0,1
390,390,171,0,37.2,82.8,11.8,32.2,3.8,17.2,22.6,9.6,32.8,24.8,9.2,6.2,12.4,34.0,84.2,12.0,34.2,4.4,17.2,22.6,11.6,34.0,21.6,4.4,4.2,15.4,BKN,LAL,11/13/2022,13,-5.0,0
391,391,408,1,40.6,86.8,12.0,31.0,6.0,22.0,28.4,12.2,32.6,23.8,5.8,2.6,13.4,41.2,81.2,13.8,32.8,4.4,20.0,26.4,7.0,30.8,26.4,6.8,3.4,12.2,CLE,MIN,11/13/2022,5,-1.0,0
392,392,1360,0,42.2,80.0,11.4,31.0,3.6,21.2,26.4,7.8,30.8,30.2,7.4,5.4,17.4,42.0,89.4,15.0,37.6,5.8,21.8,28.4,12.4,27.2,26.2,9.4,1.8,14.4,MIN,CLE,11/13/2022,-5,1.0,1
393,393,250,1,41.8,83.8,9.2,28.2,3.4,16.8,19.8,8.4,32.2,25.0,6.8,6.8,17.6,42.2,87.0,8.8,28.4,4.2,21.6,27.6,10.6,31.0,25.8,9.0,6.4,13.6,CHI,DEN,11/13/2022,23,1.5,0
394,394,567,0,46.6,87.0,12.0,27.4,4.8,15.0,19.4,9.0,32.6,31.2,9.6,3.6,15.4,43.4,85.8,12.0,32.8,4.6,13.8,19.4,9.0,29.4,28.2,8.6,4.4,16.4,DEN,CHI,11/13/2022,-23,-1.5,1
395,395,1597,0,46.8,95.6,14.4,36.0,3.6,13.2,17.8,12.0,32.2,26.2,8.6,6.8,15.2,42.6,94.8,12.8,35.4,3.6,22.8,28.2,14.4,34.0,23.0,9.4,5.6,15.4,OKC,NYK,11/13/2022,-10,5.5,1
396,396,1835,0,40.0,89.2,12.0,32.4,3.8,13.6,16.6,11.6,28.4,23.2,8.2,6.0,12.0,36.6,80.4,11.6,28.0,4.2,20.4,25.4,11.4,32.2,23.2,4.4,5.4,15.6,PHX,MIA,11/14/2022,1,2.5,1
397,397,1678,1,42.0,83.4,10.6,27.6,3.0,18.0,22.0,10.6,35.8,24.0,4.2,5.0,17.8,41.0,89.6,14.0,41.4,4.4,15.2,20.6,9.8,26.2,23.2,10.0,5.0,12.2,ORL,CHA,11/14/2022,7,2.0,0
398,398,330,0,41.4,91.6,9.0,35.4,4.4,15.0,20.0,12.6,29.6,23.6,8.2,4.4,13.0,41.2,85.2,11.2,33.2,4.0,19.8,27.0,11.4,33.4,25.0,5.2,4.6,15.0,CHA,ORL,11/14/2022,-7,-2.0,1
399,399,13,0,44.0,95.4,7.6,25.4,2.4,18.4,21.6,13.0,35.8,21.8,6.4,3.2,13.6,38.0,85.2,10.0,32.4,3.4,23.0,28.4,8.2,33.8,21.6,6.8,5.6,15.0,ATL,MIL,11/14/2022,-15,4.0,1
400,400,1202,1,39.4,86.2,13.2,37.6,4.6,21.6,24.6,9.4,30.6,24.2,8.6,2.8,13.0,42.4,85.8,13.0,36.4,5.2,12.2,16.8,8.2,34.0,25.0,6.2,3.2,16.0,MIA,PHX,11/14/2022,-1,-2.5,0
401,401,806,1,40.4,84.0,14.0,37.4,3.8,19.6,27.2,12.4,28.6,26.2,9.2,4.0,19.6,43.8,86.2,12.8,33.8,4.0,22.2,27.0,12.6,28.0,27.4,9.8,4.6,16.8,HOU,LAC,11/14/2022,16,5.0,0
402,402,1280,1,38.0,92.6,13.0,39.0,4.2,19.2,23.8,13.4,35.6,22.8,6.2,6.0,16.0,43.8,94.2,12.0,32.0,3.6,15.4,19.4,11.8,35.4,22.8,6.6,6.4,13.6,MIL,ATL,11/14/2022,15,-4.0,0
403,403,726,1,41.6,83.8,16.0,39.6,5.4,15.6,18.4,6.4,34.4,28.4,6.2,3.2,16.2,39.6,91.0,12.0,35.2,3.4,17.8,24.4,12.6,32.2,24.4,7.8,2.6,13.6,GSW,SAS,11/14/2022,-37,-8.5,1
404,404,2073,0,41.6,89.0,11.6,34.2,4.2,12.8,18.8,12.0,29.6,25.8,7.8,5.8,17.6,45.8,91.8,14.4,34.6,5.0,12.0,16.4,12.4,33.2,30.2,8.8,3.4,16.0,SAS,GSW,11/14/2022,37,8.5,0
405,405,648,1,37.0,85.6,9.8,33.2,2.6,27.2,35.6,13.0,34.6,20.6,6.2,4.6,14.4,41.8,91.4,12.8,38.8,4.4,20.4,23.8,12.2,31.8,26.2,6.8,6.0,11.4,DET,TOR,11/14/2022,4,4.0,0
406,406,2153,0,38.6,90.2,10.0,32.8,4.2,21.8,27.0,13.8,27.2,20.8,10.8,7.2,14.4,41.4,83.2,12.4,34.6,3.6,21.0,27.2,12.4,34.0,29.2,7.6,5.6,19.2,TOR,DET,11/14/2022,-4,-4.0,0
407,407,965,0,39.8,82.6,12.4,34.6,3.8,18.4,24.0,6.6,32.2,22.4,7.8,4.2,13.8,39.4,83.0,13.2,34.0,5.0,16.8,23.2,8.2,34.6,24.0,7.6,3.4,15.6,LAC,HOU,11/14/2022,-16,-5.0,1
408,408,92,1,44.0,89.4,14.8,41.0,4.8,19.4,24.4,8.8,35.6,27.8,6.8,5.2,11.0,40.8,91.8,12.2,34.8,3.8,18.2,23.2,11.0,35.4,22.4,4.4,3.4,11.8,BOS,OKC,11/14/2022,-4,-12.0,0
409,409,1598,0,49.0,98.4,14.2,35.0,3.8,14.6,18.8,12.2,34.6,26.0,8.2,7.4,16.0,44.2,96.0,11.4,33.4,3.0,24.6,30.6,12.8,33.8,23.4,11.0,5.8,14.6,OKC,BOS,11/14/2022,4,12.0,1
410,410,2233,1,42.8,92.0,14.4,39.4,4.4,17.0,22.0,12.6,33.2,28.4,5.8,5.0,15.2,43.8,91.0,9.6,28.6,2.6,18.6,22.4,10.2,32.8,22.6,8.0,7.0,12.0,UTA,NYK,11/15/2022,7,-4.0,0
