,Date,Away,Home,Favorite,Line,Over/Under
0,2021-10-19,BKN,MIL,MIL,-1.5,233.5
1,2021-10-19,GSW,LAL,LAL,-3.0,226.0
2,2021-10-20,BOS,NYK,NYK,-2.5,219.5
3,2021-10-20,DEN,PHX,PHX,-6.0,224.0
4,2021-10-21,DAL,ATL,ATL,-2.5,225.5
5,2021-10-21,LAC,GSW,GSW,-4.0,229.0
6,2021-10-22,BKN,PHI,BKN,-1.0,224.5
7,2021-10-22,PHX,LAL,PHX,-1.0,221.5
8,2021-12-25,ATL,NYK,NYK,-6.0,206.5
9,2021-12-25,BOS,MIL,MIL,-7.5,221.5
10,2021-12-25,GSW,PHX,PHX,-6.0,215.5
11,2021-12-25,BKN,LAL,LAL,-2.5,222.0
12,2021-12-25,DAL,UTA,UTA,-13.5,214.0
13,2021-10-20,IND,CHA,IND,-1.5,223.0
14,2021-10-20,CHI,DET,CHI,-5.0,218.0
15,2021-10-20,WAS,TOR,TOR,-2.5,223.0
16,2021-10-20,CLE,MEM,MEM,-7.0,218.5
17,2021-10-20,HOU,MIN,MIN,-6.5,232.0
18,2021-10-20,PHI,NOP,PHI,-3.5,224.0
19,2021-10-20,ORL,SAS,SAS,-7.0,212.5
20,2021-10-20,OKC,UTA,UTA,-14.0,221.5
21,2021-10-20,SAC,POR,POR,-6.5,234.0
22,2021-10-21,MIL,MIA,MIA,-2.5,222.5
23,2021-10-22,CHA,CLE,CHA,-2.5,226.0
24,2021-10-22,NYK,ORL,NYK,-7.5,212.0
25,2021-10-22,IND,WAS,IND,-2.0,225.0
26,2021-10-22,TOR,BOS,BOS,-7.0,217.5
27,2021-10-22,NOP,CHI,CHI,-6.5,223.0
28,2021-10-22,OKC,HOU,HOU,-3.0,220.5
29,2021-10-22,SAS,DEN,DEN,-7.5,222.0
30,2021-10-22,UTA,SAC,UTA,-6.5,226.5
31,2021-10-23,ATL,CLE,ATL,-8.5,223.0
32,2021-10-23,MIA,IND,MIA,-3.0,222.0
33,2021-10-23,DAL,TOR,DAL,-4.5,216.5
